id,sentence,tokens,labels
1,100g ức gà có bao nhiêu protein?,100g ức_gà có bao_nhiêu protein ?,O B-FOOD O O B-NUTRIENT O
2,Cá hồi chứa bao nhiêu omega-3?,Cá_hồi chứa bao_nhiêu omega-3 ?,B-FOOD O O B-NUTRIENT O
3,Hàm lượng protein trong ức gà là bao nhiêu?,Hàm_lượng protein trong ức_gà là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
4,Thịt bò có nhiều chất béo không?,Thịt_bò có nhiều chất_béo không ?,B-FOOD O O B-NUTRIENT O O
5,Trứng gà cung cấp bao nhiêu calo?,Trứng_gà cung_cấp bao_nhiêu calo ?,B-FOOD O O B-NUTRIENT O
6,Hàm lượng canxi trong sữa là bao nhiêu?,Hàm_lượng canxi trong sữa là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
7,Cá thu có chứa omega-3 không?,Cá_thu có chứa omega-3 không ?,B-FOOD O O B-NUTRIENT O O
8,Bao nhiêu protein trong 100g đậu phụ?,Bao_nhiêu protein trong 100g đậu_phụ ?,O B-NUTRIENT O O B-FOOD O
9,Chuối có bao nhiêu kali?,Chuối có bao_nhiêu kali ?,B-FOOD O O B-NUTRIENT O
10,Rau muống giàu sắt không?,Rau_muống giàu sắt không ?,B-FOOD O B-NUTRIENT O O
11,Khoai lang chứa bao nhiêu tinh bột?,Khoai_lang chứa bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
12,Gạo lứt có nhiều chất xơ không?,Gạo_lứt có nhiều chất_xơ không ?,B-FOOD O O B-NUTRIENT O O
13,Vitamin C trong cam là bao nhiêu mg?,Vitamin_C trong cam là bao_nhiêu mg ?,B-NUTRIENT O B-FOOD O O O O
14,Óc chó có nhiều omega-3 hơn cá hồi không?,Óc_chó có nhiều omega-3 hơn cá_hồi không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
15,Hàm lượng sắt trong rau cải là bao nhiêu?,Hàm_lượng sắt trong rau_cải là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
16,Thịt heo có nhiều protein không?,Thịt_heo có nhiều protein không ?,B-FOOD O O B-NUTRIENT O O
17,Bơ chứa nhiều chất béo lành mạnh không?,Bơ chứa nhiều chất_béo lành_mạnh không ?,B-FOOD O O B-NUTRIENT O O O
18,Sữa chua cung cấp canxi và protein không?,Sữa_chua cung_cấp canxi và protein không ?,B-FOOD O B-NUTRIENT O B-NUTRIENT O O
19,100g cá ba sa có bao nhiêu calo?,100g cá_ba_sa có bao_nhiêu calo ?,O B-FOOD O O B-NUTRIENT O
20,Yến mạch có nhiều chất xơ và protein không?,Yến_mạch có nhiều chất_xơ và protein không ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O O
21,Táo chứa bao nhiêu vitamin C?,Táo chứa bao_nhiêu vitamin_C ?,B-FOOD O O B-NUTRIENT O
22,Lượng kẽm trong trứng gà là bao nhiêu?,Lượng kẽm trong trứng_gà là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
23,Cà rốt có nhiều vitamin D không?,Cà_rốt có nhiều vitamin_D không ?,B-FOOD O O B-NUTRIENT O O
24,Hạt điều giàu magiê không?,Hạt_điều giàu magiê không ?,B-FOOD O B-NUTRIENT O O
25,Đậu xanh chứa bao nhiêu folate?,Đậu_xanh chứa bao_nhiêu folate ?,B-FOOD O O B-NUTRIENT O
26,Tôm có nhiều protein không?,Tôm có nhiều protein không ?,B-FOOD O O B-NUTRIENT O O
27,Cà chua có bao nhiêu calo?,Cà_chua có bao_nhiêu calo ?,B-FOOD O O B-NUTRIENT O
28,Bưởi giàu vitamin C không?,Bưởi giàu vitamin_C không ?,B-FOOD O B-NUTRIENT O O
29,Nước mía có nhiều đường không?,Nước_mía có nhiều đường không ?,B-FOOD O O B-NUTRIENT O O
30,Dưa hấu chứa bao nhiêu nước?,Dưa_hấu chứa bao_nhiêu nước ?,B-FOOD O O O O
